Date,Title
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
14/11/20,
4/4/20,
4/4/20,
4/4/20,
4/4/20,
4/4/20,
19/8/19,
19/8/19,
19/8/19,
19/8/19,
18/8/19,
30/7/19,
8/6/19,
8/6/19,
7/6/19,
7/6/19,
7/6/19,
20/4/19,
20/4/19,
20/4/19,
18/4/19,
16/3/19,
16/3/19,
16/3/19,
16/3/19,
11/10/18,
11/10/18,
10/7/17,
10/7/17,
2/6/17,
28/5/17,
28/5/17,
26/5/17,
17/9/20,El practicante
1/8/20,El Hombre de las Mil Caras
2/7/20,Hitting the Apex
30/6/20,Sigue el ritmo
23/6/20,La Red Avispa
1/8/20,MINDHUNTER: Temporada 2: Episodio 9
31/7/20,MINDHUNTER: Temporada 2: Episodio 8
31/7/20,MINDHUNTER: Temporada 2: Episodio 7
31/7/20,MINDHUNTER: Temporada 2: Episodio 6
31/7/20,MINDHUNTER: Temporada 2: Episodio 5
31/7/20,MINDHUNTER: Temporada 2: Episodio 4
29/7/20,MINDHUNTER: Temporada 2: Episodio 3
29/7/20,MINDHUNTER: Temporada 2: Episodio 2
28/7/20,MINDHUNTER: Temporada 2: Episodio 1
27/7/20,MINDHUNTER: Temporada 1: Episodio 10
27/7/20,MINDHUNTER: Temporada 1: Episodio 9
27/7/20,MINDHUNTER: Temporada 1: Episodio 8
26/7/20,MINDHUNTER: Temporada 1: Episodio 7
26/7/20,MINDHUNTER: Temporada 1: Episodio 6
25/7/20,MINDHUNTER: Temporada 1: Episodio 5
25/7/20,MINDHUNTER: Temporada 1: Episodio 4
25/7/20,MINDHUNTER: Temporada 1: Episodio 3
25/7/20,MINDHUNTER: Temporada 1: Episodio 2
24/7/20,MINDHUNTER: Temporada 1: Episodio 1
14/7/20,Dark: Temporada 3: Adam y Eva
11/7/20,Dark: Temporada 3: Los supervivientes
11/7/20,Dark: Temporada 3: Déjà vu
9/7/20,Dark: Temporada 2: Los viajeros
9/7/20,Dark: Temporada 2: Fantasmas
9/7/20,Dark: Temporada 2: Materia oscura
7/7/20,Dark: Temporada 2: Principios y finales
7/7/20,Dark: Temporada 1: Alfa y omega
7/7/20,Dark: Temporada 1: Todo ocurre ahora
7/7/20,Dark: Temporada 1: Verdades
4/7/20,Dark: Temporada 1: Vidas dobles
4/7/20,Dark: Temporada 1: Pasado y presente
4/7/20,Dark: Temporada 1: Mentiras
21/7/19,La noche más oscura (Zero Dark Thirty)
10/6/20,Black Mirror: Bandersnatch
10/6/20,Black Mirror: Temporada 1: El himno nacional
10/6/20,Black Mirror: Temporada 2: El momento Waldo
8/6/19,"Black Mirror: Temporada 5: Rachel, Jack y Ashley Too"
7/6/19,Black Mirror: Temporada 5: Añicos
7/6/19,Black Mirror: Temporada 5: Striking Vipers
12/5/18,Black Mirror: Temporada 2: Oso blanco
12/5/18,Black Mirror: Temporada 4: Cocodrilo
28/3/18,Black Mirror: Temporada 2: Ahora mismo vuelvo
27/3/18,Black Mirror: Temporada 3: San Junípero
27/3/18,Black Mirror: Temporada 4: Black Museum
2/1/18,Black Mirror: Temporada 4: Cabeza de metal
2/1/18,Black Mirror: Temporada 4: Hang the DJ
29/12/17,Black Mirror: Temporada 4: Arkangel
29/12/17,Black Mirror: Temporada 4: USS Callister
15/7/17,Black Mirror: Temporada 3: Cállate y baila
15/7/17,Black Mirror: Temporada 3: Playtesting
1/7/17,Black Mirror: Temporada 1: 15 millones de méritos
1/7/17,Black Mirror: Temporada 1: Toda tu historia
7/1/17,Black Mirror: Temporada 2: Blanca Navidad
7/1/17,Black Mirror: Temporada 3: Odio nacional
3/12/16,Black Mirror: Temporada 3: La ciencia de matar
1/11/16,Black Mirror: Temporada 3: Caída en picado
2/6/20,Jeffrey Epstein: Asquerosamente rico: Miniserie: La voz de las víctimas
2/6/20,Jeffrey Epstein: Asquerosamente rico: Miniserie: La isla
2/6/20,Jeffrey Epstein: Asquerosamente rico: Miniserie: Coto de caza
6/5/20,El último baile: Temporada 1: Episodio IV
6/5/20,El último baile: Temporada 1: Episodio III
24/4/20,El último baile: Temporada 1: Episodio II
23/4/20,El último baile: Temporada 1: Episodio I
12/3/20,Vikingos: Temporada 5: Balder
12/3/20,Vikingos: Temporada 5: Cosas terribles
12/3/20,Vikingos: Temporada 5: El Buda
12/3/20,Vikingos: Temporada 5: Infierno
12/3/20,Vikingos: Temporada 5: El momento perdido
12/3/20,Vikingos: Temporada 5: Un Nuevo Dios
12/3/20,Vikingos: Temporada 5: El asesinato más vil
12/3/20,Vikingos: Temporada 5: La revelación
20/12/18,Vikingos: Temporada 5: Momentos visionarios
16/12/18,Vikingos: Temporada 5: Una historia sencilla
16/12/18,Vikingos: Temporada 5: El chiste
16/12/18,Vikingos: Temporada 5: Luna llena
16/12/18,Vikingos: Temporada 5: El mensaje
9/12/18,Vikingos: Temporada 5: El prisionero
8/12/18,Vikingos: Temporada 5: El plan
8/12/18,Vikingos: Temporada 5: Patria
8/12/18,Vikingos: Temporada 5: Los difuntos
8/12/18,Vikingos: Temporada 5: El rey pescador
10/9/17,Vikingos: Temporada 4: El ajuste de cuentas
10/9/17,Vikingos: Temporada 4: ﻿La víspera
9/9/17,Vikingos: Temporada 4: Venganza
9/9/17,Vikingos: Temporada 4: El gran ejército
9/9/17,Vikingos: Temporada 4: ﻿Viajes
7/9/17,Vikingos: Temporada 4: Todos sus ángeles
6/9/17,Vikingos: Temporada 4: En esa hora incierta antes del alba
6/9/17,Vikingos: Temporada 4: Dos viajes
6/9/17,Vikingos: Temporada 4: La visión
6/9/17,Vikingos: Temporada 4: El forastero
27/8/17,Vikingos: Temporada 4: El último barco
19/3/17,Vikingos: Temporada 4: Muerte alrededor
20/2/17,Vikingos: Temporada 4: Beneficios y pérdidas
20/2/17,Vikingos: Temporada 4: Porte
20/2/17,Vikingos: Temporada 4: El solsticio de invierno
20/2/17,Vikingos: Temporada 4: Lo que podría haber sido
19/2/17,Vikingos: Temporada 4: Prometida
19/2/17,Vikingos: Temporada 4: Una buena traición
19/2/17,Vikingos: Temporada 3: Los muertos
14/1/17,Vikingos: Temporada 1: Ritos de paso
14/1/17,Vikingos: Temporada 3: Punto crítico
14/1/17,Vikingos: Temporada 3: A las puertas
13/1/17,Vikingos: Temporada 3: París
13/1/17,Vikingos: Temporada 3: Renacido
13/1/17,Vikingos: Temporada 3: El usurpador
13/1/17,Vikingos: Temporada 3: Marcada
12/1/17,Vikingos: Temporada 3: El sino del guerrero
12/1/17,Vikingos: Temporada 3: El errante
11/1/17,Vikingos: Temporada 3: Mercenario
9/1/17,Vikingos: Temporada 2: La oración del Señor
9/1/17,Vikingos: Temporada 2: La decisión
9/1/17,Vikingos: Temporada 2: Sin huesos
6/1/17,Vikingos: Temporada 2: El águila de sangre
6/1/17,Vikingos: Temporada 2: Imperdonable
5/1/17,Vikingos: Temporada 2: Respuestas en sangre
5/1/17,Vikingos: Temporada 2: Ojo por ojo
5/1/17,Vikingos: Temporada 2: Traición
5/1/17,Vikingos: Temporada 2: Invasión
3/1/17,Vikingos: Temporada 2: Guerra de hermanos
3/1/17,Vikingos: Temporada 1: Todo cambia
3/1/17,Vikingos: Temporada 1: Sacrificio
2/1/17,Vikingos: Temporada 1: El rescate de un rey
1/1/17,Vikingos: Temporada 1: El funeral
1/1/17,Vikingos: Temporada 1: La batida
1/1/17,Vikingos: Temporada 1: Juicio
1/1/17,Vikingos: Temporada 1: Despojados
1/1/17,Vikingos: Temporada 1: La ira de los hombres del norte
19/12/19,Senna
28/11/19,Cómo defender a un asesino: Temporada 5: Me ha engañado
28/11/19,Cómo defender a un asesino: Temporada 5: Seguro que lo encontramos
28/11/19,Cómo defender a un asesino: Temporada 5: Fue el peor día de mi vida
25/11/19,Cómo defender a un asesino: Temporada 5: Es su hijo
24/11/19,Cómo defender a un asesino: Temporada 5: El niño no llegó a morir
6/12/18,Cómo defender a un asesino: Temporada 4: Nadie más debe morir
6/12/18,Cómo defender a un asesino: Temporada 4: El día antes de su muerte
6/12/18,Cómo defender a un asesino: Temporada 4: Lahey contra el Pueblo de Pensilvania
6/12/18,Cómo defender a un asesino: Temporada 4: Pregúntale por Stella
6/12/18,Cómo defender a un asesino: Temporada 4: Es un mal padre
6/12/18,Cómo defender a un asesino: Temporada 4: Todo ha sido en vano
5/12/18,Cómo defender a un asesino: Temporada 4: Está muerto
5/12/18,Cómo defender a un asesino: Temporada 4: Vive. Vive. Vive
5/12/18,Cómo defender a un asesino: Temporada 4: Nadie anima a Goliat
3/12/18,"Cómo defender a un asesino: Temporada 4: Sé fuerte, mamá"
2/12/18,Cómo defender a un asesino: Temporada 4: La quiero
2/12/18,Cómo defender a un asesino: Temporada 4: ¿Pero era buena en su trabajo?
2/12/18,Cómo defender a un asesino: Temporada 4: Por una causa más importante
30/11/18,Cómo defender a un asesino: Temporada 4: No soy ella
29/11/18,Cómo defender a un asesino: Temporada 4: Me voy a ir
9/3/18,Cómo defender a un asesino: Temporada 3: Wes
9/3/18,Cómo defender a un asesino: Temporada 3: Cometió un error tremendo
9/3/18,Cómo defender a un asesino: Temporada 3: Es la guerra
9/3/18,Cómo defender a un asesino: Temporada 3: Marchaos a llorar a otro sitio
9/3/18,Cómo defender a un asesino: Temporada 3: Annalise no es el centro de todo
9/3/18,Cómo defender a un asesino: Temporada 3: Somos malas personas
8/3/18,Cómo defender a un asesino: Temporada 3: ¿Quién ha muerto?
8/3/18,Cómo defender a un asesino: Temporada 3: No más sangre
8/3/18,Cómo defender a un asesino: Temporada 3: Llámalo intuición de madre
8/3/18,Cómo defender a un asesino: Temporada 3: ¿De verdad se ha muerto alguien?
8/3/18,Cómo defender a un asesino: Temporada 3: Es sobre Frank
